,"t, hr","md, ft",prom_wob,prom_rpm,prom_q,prom_tq,p_ma_psi,rop_pph
374,9.5,5692,15.0,80.0,850.0,15.5,3500,46.5
375,9.5,5692,12.0,0.0,850.0,0.0,3200,46.5
376,1.0,5788,15.0,80.0,850.0,15.0,3500,96.0
377,11.0,6842,23.0,80.0,900.0,16.0,3750,95.8
378,11.0,6842,7.0,0.0,900.0,0.0,3100,95.8
379,12.5,7134,22.0,40.0,550.0,12.0,2000,23.4
380,11.5,7509,26.0,80.0,875.0,15.0,3900,32.6
381,11.5,7509,25.0,0.0,900.0,0.0,3600,32.6
382,13.0,7931,32.5,80.0,800.0,15.0,3650,32.5
383,5.5,8115,30.0,80.0,800.0,12.0,3900,35.5
384,5.0,8235,26.0,40.0,550.0,12.5,2500,24.0
385,2.0,8278,26.0,40.0,525.0,12.5,2500,21.5
386,19.0,8680,37.5,70.0,740.0,12.5,3800,21.4
387,19.0,8680,25.0,0.0,675.0,0.0,3200,21.4
388,3.5,8736,37.5,80.0,780.0,12.5,3800,16.0
389,1.5,8760,7.0,50.0,700.0,10.0,3150,16.0
390,1.5,8760,25.0,0.0,700.0,0.0,3100,16.0
391,20.5,9196,18.0,80.0,750.0,13.0,3850,21.3
392,20.5,9196,13.0,0.0,700.0,0.0,3200,21.3
393,4.5,9394,20.0,80.0,730.0,17.5,3900,44.0
394,4.5,9602,20.0,80.0,715.0,17.5,3900,46.2
395,0.5,5946,12.0,40.0,700.0,19.0,2500,128.0
396,8.0,6514,21.5,80.0,875.0,18.5,3850,71.0
397,8.0,6514,9.0,0.0,850.0,0.0,3400,71.0
398,4.5,6715,21.5,80.0,875.0,18.5,3850,44.6
399,4.5,6715,8.0,0.0,850.0,0.0,3400,44.6
400,7.5,6997,20.0,80.0,850.0,20.5,3850,37.6
401,7.5,6997,15.0,0.0,820.0,0.0,3300,37.6
402,8.0,7250,6.0,40.0,650.0,10.0,2450,31.6
403,8.5,7780,30.0,80.0,800.0,20.5,3850,62.3
404,12.5,8190,37.5,80.0,760.0,18.0,3900,32.8
405,12.5,8190,22.0,0.0,750.0,0.0,3600,32.8
406,7.5,8400,22.0,40.0,650.0,16.0,3000,28.0
407,5.5,8590,35.0,50.0,800.0,15.5,3800,34.5
408,19.5,8852,30.0,60.0,775.0,18.5,3800,13.4
409,19.5,8852,20.0,0.0,750.0,0.0,3500,13.4
410,2.0,8885,20.0,75.0,775.0,17.5,3900,16.5
411,4.0,9015,12.5,80.0,790.0,18.0,3900,32.5
412,2.5,9071,12.5,80.0,790.0,18.0,3800,22.4
413,7.0,9304,12.5,80.0,790.0,16.0,3950,33.3
414,14.0,9625,12.5,80.0,760.0,16.0,3800,23.0
415,14.0,9625,12.5,0.0,750.0,0.0,3500,23.0
416,7.5,6635,15.0,75.0,875.0,18.0,3800,50.0
417,7.5,6635,14.0,0.0,850.0,0.0,3450,50.0
418,9.0,6885,12.0,40.0,650.0,18.0,2400,27.8
419,7.5,7193,20.0,80.0,850.0,19.0,3800,41.0
420,14.0,7760,37.5,80.0,795.0,19.5,3900,40.5
421,9.5,7965,21.0,40.0,650.0,20.5,2800,21.6
422,5.5,8150,22.5,50.0,800.0,19.0,3600,33.6
423,10.5,8351,25.0,70.0,800.0,19.5,3600,19.1
424,4.0,8498,15.0,60.0,725.0,20.0,3700,37.0
425,8.0,8780,10.5,80.0,800.0,21.5,3800,35.25
426,11.5,9142,12.0,80.0,780.0,22.0,3800,31.48
427,0.5,5450,10.0,40.0,525.0,6.5,2000,88.8
428,8.0,6370,11.0,87.5,875.0,11.0,3400,115.0
429,1.5,6430,12.0,40.0,600.0,5.0,1800,40.0
430,6.5,6642,10.0,40.0,600.0,6.0,2000,32.61
431,9.0,7212,21.5,90.0,890.0,10.0,3900,63.33
432,8.5,7412,18.5,40.0,625.0,5.5,2200,23.53
433,17.0,7805,15.0,40.0,600.0,4.5,2300,23.12
434,6.5,7918,27.5,65.0,750.0,6.5,3800,17.38
435,0.5,5731,11.0,40.0,650.0,13.0,2000,62.0
436,3.5,6060,18.5,50.0,750.0,16.0,2850,94.0
437,10.0,6830,25.0,55.0,815.0,21.0,3500,77.0
438,10.0,6830,20.0,0.0,815.0,0.0,3300,77.0
439,9.0,7128,22.5,40.0,725.0,14.0,3900,33.11
440,5.0,7370,31.5,80.0,820.0,18.0,3800,48.4
441,5.0,7370,15.0,0.0,820.0,0.0,3500,48.4
442,12.0,7785,35.0,80.0,830.0,21.0,3800,34.6
443,12.0,7785,22.0,0.0,840.0,0.0,3700,34.6
444,12.0,8000,20.0,37.5,750.0,13.5,3800,17.9
445,21.5,8575,17.5,40.0,735.0,17.5,3650,26.74
446,6.0,8775,14.0,55.0,750.0,19.0,3800,33.33
447,6.0,8775,15.0,0.0,740.0,0.0,3800,33.33
448,18.0,9505,17.5,55.0,715.0,19.0,3600,40.55
449,18.0,9505,14.0,0.0,710.0,0.0,3600,40.55
450,2.0,5819,12.5,40.0,500.0,14.5,1600,53.5
451,14.0,6845,17.5,75.0,775.0,18.0,3600,73.28
452,14.0,6845,17.5,0.0,875.0,0.0,3200,73.25
453,6.0,7050,15.0,40.0,650.0,17.5,2300,34.16
454,0.5,7065,15.0,40.0,650.0,17.5,2300,30.0
455,16.5,7810,24.0,75.0,855.0,19.5,3900,45.15
456,16.5,7810,22.0,0.0,850.0,0.0,3800,45.15
457,7.0,7990,25.0,40.0,650.0,19.5,2600,25.7
458,13.0,8342,22.5,40.0,650.0,22.0,2700,27.07
459,8.5,8513,22.5,40.0,700.0,22.0,3200,20.11
460,3.5,8670,16.5,80.0,775.0,22.0,3900,44.86
461,24.0,9392,14.0,80.0,755.0,23.0,3950,30.08
462,24.0,9392,15.0,0.0,770.0,0.0,3800,30.08
463,24.0,9770,14.0,80.0,740.0,22.5,3900,15.75
464,2.0,9792,14.0,80.0,740.0,22.5,3900,11.0
465,7.5,9855,12.5,70.0,710.0,22.5,3900,8.4
466,7.5,9855,15.0,0.0,710.0,0.0,3800,6.0
467,22.5,10280,14.0,70.0,710.0,22.5,3900,10.88
468,22.5,10280,12.5,0.0,710.0,0.0,3850,10.88
469,1.0,5645,12.5,50.0,600.0,17.5,2100,61.0
470,3.5,5952,17.5,75.0,700.0,17.5,2600,87.71
471,3.5,5952,20.0,0.0,800.0,0.0,2600,87.71
472,4.5,6327,18.0,60.0,775.0,18.0,3200,83.33
473,4.5,6327,20.0,0.0,750.0,0.0,2600,83.33
474,6.5,6665,21.0,55.0,800.0,18.0,3200,52.0
475,6.5,6665,17.5,0.0,800.0,0.0,3000,52.0
476,5.5,6860,12.5,40.0,675.0,16.5,2500,35.45
477,12.0,7550,25.0,65.0,835.0,19.5,3900,57.5
478,12.0,7550,17.5,0.0,800.0,0.0,3200,57.5
479,0.5,7570,25.0,70.0,840.0,19.5,3900,10.0
480,23.5,8220,20.0,40.0,700.0,20.5,3100,27.65
481,2.5,8295,20.0,40.0,700.0,20.5,3100,30.0
482,12.0,8855,12.0,70.0,780.0,22.0,3900,46.66
483,7.5,9042,15.0,70.0,780.0,22.0,3900,24.93
484,7.5,9042,20.0,0.0,780.0,0.0,3800,24.93
485,4.5,9229,12.5,80.0,780.0,22.0,3900,41.55
486,8.5,9418,20.0,80.0,770.0,22.0,3900,22.23
487,9.5,9580,20.0,80.0,765.0,22.0,3900,17.05
488,6.0,9699,22.5,80.0,745.0,22.0,3900,19.83
489,15.0,10024,24.0,80.0,715.0,22.0,3950,21.66
490,10.0,6530,18.0,80.0,900.0,16.0,3700,88.0
491,10.0,6530,13.0,0.0,900.0,0.0,3200,88.0
492,6.5,6705,8.0,40.0,650.0,11.0,2250,27.0
493,5.0,6820,9.0,40.0,650.0,11.0,2350,23.0
494,19.0,7605,31.5,80.0,880.0,18.5,3850,41.31
495,19.0,7605,24.0,0.0,840.0,0.0,3600,41.31
496,1.0,7640,31.5,80.0,860.0,18.5,3850,35.0
497,23.0,8205,20.0,40.0,650.0,20.0,2850,24.56
498,7.0,8327,20.0,40.0,650.0,20.0,2850,17.43
499,2.0,8353,32.5,80.0,810.0,21.0,3850,13.0
500,8.0,5474,32.5,80.0,880.0,20.0,3800,121.5
501,8.0,5474,17.5,0.0,900.0,0.0,3700,121.5
502,0.5,5666,32.5,80.0,850.0,18.5,3800,192.0
503,0.5,5760,32.5,80.0,900.0,17.5,3300,156.0
504,9.5,6616,27.5,80.0,880.0,19.5,3800,90.0
505,9.5,6616,12.0,0.0,900.0,0.0,3200,90.0
506,13.0,6970,17.0,42.5,640.0,18.0,2500,27.0
507,1.5,7015,32.5,80.0,830.0,19.5,3800,30.0
508,5.5,7279,32.5,80.0,850.0,19.5,3800,48.0
509,5.5,7450,35.0,80.0,820.0,19.5,3800,31.0
510,1.5,7474,37.5,80.0,830.0,19.5,3800,16.0
511,3.0,7566,37.5,80.0,820.0,19.5,3800,30.67
512,3.0,7638,37.5,80.0,800.0,19.5,3800,24.0
513,4.0,7764,13.0,80.0,850.0,20.0,3800,31.5
514,17.0,8150,10.0,42.5,640.0,22.0,2700,22.7
515,4.0,8205,8.0,55.0,625.0,23.0,2400,13.8
516,19.0,8400,14.5,70.0,600.0,23.0,2500,10.2
517,6.0,8476,25.0,75.0,680.0,21.0,3800,12.7
518,10.0,5649,18.5,80.0,850.0,11.5,3950,114.8
519,12.0,6728,24.0,80.0,885.0,13.5,3900,90.0
520,12.0,6728,13.0,0.0,845.0,0.0,3300,90.0
521,2.5,6758,19.0,0.0,800.0,0.0,3100,12.0
522,11.0,7080,12.0,40.0,650.0,7.5,2400,29.27
523,10.5,7465,33.0,70.0,845.0,13.0,3950,36.66
524,10.5,7465,22.5,0.0,800.0,0.0,3400,36.66
525,10.5,7940,24.0,70.0,820.0,14.0,3900,41.3
526,12.5,8225,18.0,40.0,650.0,8.5,2900,22.8
